Name,Version,Source
Microsoft Edge WebView2 Runtime,133.0.3065.92,Registry
Mozilla Maintenance Service,135.0.1.1175,Registry
OBS Studio,29.1.3,Registry
PyCharm 2021.2.2,212.5284.44,Registry
RealPlayer,15.0.5,Registry
RStudio,1.3.1073,Registry
SAntivirus Realtime Protection Lite,1.0.22.14,Registry
KMPlayer (remove only),4.2.2.42,Registry
Lenovo Vantage Service,4.2.85.0,Registry
WinSCP 5.19.5,5.19.5,Registry
Respondus LockDown Browser OEM,2.00.903,Registry
Realtek USB Ethernet Controller All-In-One Windows Driver,10.54.608.2022,Registry
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0,Registry
NCS WinVisible,1.1.0.7,Registry
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005,12.0.21005,Registry
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319,10.0.30319,Registry
ExpressVPN,10.16.0.8,Registry
MySQL Installer - Community,1.6.0.0,Registry
Microsoft SQL Server 2014 Policies ,12.0.2000.8,Registry
RealUpgrade 1.1,1.1.0,Registry
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.29.30133,14.29.30133.0,Registry
Python 3.8.5 Add to Path (32-bit),3.8.5150.0,Registry
Python 3.8.5 Core Interpreter (32-bit),3.8.5150.0,Registry
SQL Server Browser for SQL Server 2014,12.0.2000.8,Registry
Microsoft Report Viewer 2014 Runtime,12.0.2000.8,Registry
Java SE Development Kit 8 Update 202,8.0.2020.8,Registry
Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.29.30133,14.29.30133.0,Registry
Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30133,14.29.30133,Registry
Intel(R) Chipset Device Software,10.1.18019.8144,Registry
Java Auto Updater,2.8.391.13,Registry
Python 3.8.5 Standard Library (32-bit),3.8.5150.0,Registry
Python 3.8.5 Tcl/Tk Support (32-bit),3.8.5150.0,Registry
Python 3.8.5 Development Libraries (32-bit),3.8.5150.0,Registry
Java 8 Update 391,8.0.3910.13,Registry
Python 3.8.5 pip Bootstrap (32-bit),3.8.5150.0,Registry
RealNetworks - Microsoft Visual C++ 2008 Runtime,9.0,Registry
Cisco AnyConnect Start Before Login Module,4.7.03052,Registry
Microsoft SQL Server 2008 R2 Management Objects,10.51.2500.0,Registry
Python 3.8.5 Utility Scripts (32-bit),3.8.5150.0,Registry
Microsoft Application Error Reporting,12.0.6012.5000,Registry
Kryterion Sentinel,18.0.0,Registry
Google Update Helper,1.3.99.0,Registry
Adobe Refresh Manager,1.8.0,Registry
Cisco AnyConnect Secure Mobility Client,4.7.03052,Registry
Microsoft SQL Server System CLR Types,10.51.2500.0,Registry
Python Launcher,3.8.7140.0,Registry
Microsoft .NET Framework 4 Multi-Targeting Pack,4.0.30319,Registry
Microsoft Visual Studio 2010 Shell (Isolated) - ENU,10.0.40219,Registry
Python 3.8.5 Test Suite (32-bit),3.8.5150.0,Registry
UltraViewer version 6.6.24,6.6.24,Registry
Windows SDK AddOn,10.1.0.0,Registry
ExpressVPN,10.16.0.8,Registry
Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30133,14.29.30133,Registry
Intel(R) Processor Graphics,26.20.100.7323,Registry
Python 3.8.5 Executables (32-bit),3.8.5150.0,Registry
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0.30501.0,Registry
Python 3.8.5 Documentation (32-bit),3.8.5150.0,Registry
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005,12.0.21005,Registry
obs-studio,Unknown,File System
Windows Photo Viewer,Unknown,File System
Intel,Unknown,File System
Amazon,Unknown,File System
Windows Media Player,Unknown,File System
Realtek,Unknown,File System
ModifiableWindowsApps,Unknown,File System
Microsoft SDKs,Unknown,File System
PuTTY,Unknown,File System
WinSCP,Unknown,File System
UNP,Unknown,File System
NVIDIA Corporation,Unknown,File System
R,Unknown,File System
Application Verifier (x64),Unknown,File System
MSBuild,Unknown,File System
Opera,Unknown,File System
JetBrains,Unknown,File System
Windows Mail,Unknown,File System
CodeBlocks,Unknown,File System
Apache Software Foundation,Unknown,File System
Common Files,Unknown,File System
Microsoft Windows Performance Toolkit,Unknown,File System
WindowsPowerShell,Unknown,File System
Oracle,Unknown,File System
Real,Unknown,File System
Notepad++,Unknown,File System
UltraViewer,Unknown,File System
Python,Unknown,File System
Microsoft Visual Studio,Unknown,File System
7-Zip,Unknown,File System
Microsoft Office 15,Unknown,File System
Windows NT,Unknown,File System
DWAgent,Unknown,File System
ExpressVPN,Unknown,File System
hadoop-3.2.2.tar.gz,Unknown,File System
WindowsApps,Unknown,File System
Neptune Century Studios,Unknown,File System
Java,Unknown,File System
Winamp,Unknown,File System
psi-bridge-secure-browser,Unknown,File System
Microsoft Update Health Tools,Unknown,File System
Cisco,Unknown,File System
Git,Unknown,File System
TeamViewer,Unknown,File System
Internet Explorer,Unknown,File System
Reference Assemblies,Unknown,File System
Docker,Unknown,File System
Google,Unknown,File System
